src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.1.12,172.64.155.209,52724,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:15,7693.052291870117,16378.414603154926,259.9748349707131,129.98741748535656,129.98741748535656,1,1,60,66,60.0,60.0,60.0,0.0,66.0,66.0,66.0,0.0,66,60,63.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,252,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,1,1,60,66
192.168.1.12,104.18.32.47,52767,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:16,7367.849349975586,17101.32686146976,271.4496327217422,135.7248163608711,135.7248163608711,1,1,60,66,60.0,60.0,60.0,0.0,66.0,66.0,66.0,0.0,66,60,63.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,250,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,1,1,60,66
192.168.1.12,3.171.198.24,52779,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:16,5936.145782470703,21225.893806731463,336.91894931319786,168.45947465659893,168.45947465659893,1,1,60,66,60.0,60.0,60.0,0.0,66.0,66.0,66.0,0.0,66,60,63.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,255,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,1,1,60,66
103.43.90.116,192.168.1.12,443,52789,a6:ba:5f:4c:8c:03,c8:a3:e8:00:75:89,6,2025-05-15 19:03:17,0.476837158203125,387973120.0,4194304.0,4194304.0,0.0,2,0,185,0,100.0,85.0,92.5,7.5,0.0,0.0,0.0,0.0,100,85,92.5,7.5,56.25,40,0,20,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,92.5,83,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,0.0,0,2,0,185,0
103.43.90.116,192.168.1.12,443,52789,b0:d1:d6:55:23:5e,c8:a3:e8:00:75:89,6,2025-05-15 19:03:17,39900.54130554199,6014.9559917540555,100.24926652923426,50.12463326461713,50.12463326461713,2,2,120,120,60.0,60.0,60.0,0.0,60.0,60.0,60.0,0.0,60,60,60.0,0.0,0.0,40,40,20,2,13300.180435180664,39900.30288696289,0.0,18809.126966299587,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.0,83,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0,2,2,120,120
192.168.1.16,192.168.1.255,34828,15600,24:fc:e5:ce:23:90,ff:ff:ff:ff:ff:ff,17,2025-05-15 19:03:18,0.0,0,0,0,0,1,0,77,0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,77,77,77.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,77.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0,1,0,77,0
192.168.1.12,149.154.170.96,52836,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:19,83188.77220153809,1514.627475144661,24.04170595467716,12.02085297733858,12.02085297733858,1,1,60,66,60.0,60.0,60.0,0.0,66.0,66.0,66.0,0.0,66,60,63.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,255,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,1,1,60,66
192.168.1.12,149.154.170.96,52831,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:19,71236.84883117676,1768.7475241725767,28.075357526548835,14.037678763274418,14.037678763274418,1,1,60,66,60.0,60.0,60.0,0.0,66.0,66.0,66.0,0.0,66,60,63.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,255,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,1,1,60,66
192.168.1.12,149.154.170.96,52835,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:19,71381.0920715332,1765.1733301268562,28.018624287727878,14.009312143863939,14.009312143863939,1,1,60,66,60.0,60.0,60.0,0.0,66.0,66.0,66.0,0.0,66,60,63.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,255,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,1,1,60,66
192.168.1.12,149.154.170.96,52833,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:19,71981.90689086914,1750.4398736063913,27.784759898514146,13.892379949257073,13.892379949257073,1,1,60,66,60.0,60.0,60.0,0.0,66.0,66.0,66.0,0.0,66,60,63.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,253,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,1,1,60,66
192.168.1.12,149.154.170.96,52832,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:19,73343.03855895996,1717.9544572414936,27.269118368912597,13.634559184456299,13.634559184456299,1,1,60,66,60.0,60.0,60.0,0.0,66.0,66.0,66.0,0.0,66,60,63.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,255,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,1,1,60,66
192.168.1.12,149.154.170.96,52834,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:19,79641.81900024414,1582.0834026858897,25.112434963268093,12.556217481634047,12.556217481634047,1,1,60,66,60.0,60.0,60.0,0.0,66.0,66.0,66.0,0.0,66,60,63.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,255,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,1,1,60,66
192.168.1.16,239.255.255.250,51125,15600,24:fc:e5:ce:23:90,01:00:5e:7f:ff:fa,17,2025-05-15 19:03:21,0.0,0,0,0,0,1,0,77,0,77.0,77.0,77.0,0.0,0.0,0.0,0.0,0.0,77,77,77.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,77.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0,1,0,77,0
192.168.1.12,149.154.167.99,52830,443,c8:a3:e8:00:75:89,b0:d1:d6:55:23:5e,6,2025-05-15 19:03:21,267450.57106018066,471.11509054003096,7.478017310159221,3.7390086550796107,3.7390086550796107,1,1,60,66,60.0,60.0,60.0,0.0,66.0,66.0,66.0,0.0,66,60,63.0,3.0,9.0,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,255,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,66.0,0,1,1,60,66
